Var_ln_IMAE,Var_ln_IPC,Tiempo,Mes,Var_Morosidad,Var_Tasa_interes_activa,Var_Liquidez
299.1522892337261,403.07074978190184,100,7,2.930352728211776e-4,-0.7300000000000004,0.015861266010342934
552.9305303908849,367.7093389498509,101,8,-6.251202047666063e-4,0.3000000000000007,-0.008151053822779697
181.99567781632447,346.2162466017116,102,9,-7.335956088455782e-5,-0.009999999999999787,-0.003239787427371188
175.22350692202872,334.1280164413263,103,10,4.43430695281917e-4,-1.8800000000000008,-0.015212657667477814
488.86359638699685,325.39050518720626,104,11,-4.437715577354194e-4,1.8499999999999996,0.009062411156874117
509.31398910054594,308.2801733332196,105,12,-8.88774505023008e-4,-0.21999999999999886,0.006993010910053943
789.1819952730206,381.0806376883136,106,1,3.1493287597818796e-4,0.2599999999999998,0.00872390183783367
594.6957542384633,362.8344767083735,107,2,1.2163539420664664e-4,0.6199999999999992,0.01122352428983675
792.2472932587876,311.85161068798976,108,3,-6.105811519545833e-5,-2.1499999999999986,6.689195738250886e-4
241.97274130721698,330.1290090780728,109,4,2.949549029773804e-4,3.1799999999999997,-0.009226378108736277
444.5176257083361,286.6096945513163,110,5,2.785704397387234e-4,-0.9199999999999999,-0.01881625559549166
428.8309694200798,301.6406371135271,111,6,-5.261113783930748e-4,0.129999999999999,0.0022676561032280995
337.75264861033884,308.0223643366153,112,7,2.9203959957230935e-4,-2.0700000000000003,0.018453433374216066
329.29924882181706,341.4625986239184,113,8,6.576164078606738e-4,0.4800000000000004,-0.015153162463145242
295.0268861075145,404.13561282742984,114,9,3.111963280201021e-4,-2.7399999999999993,0.0010401421368377295
371.26622961888944,427.684533699173,115,10,-1.794865345492065e-5,0.3199999999999994,0.002937627574910451
545.9360100466258,520.9588087903594,116,11,0.0011386762969068914,2.25,0.010492702887079985
275.9112831521548,552.5298278659106,117,12,-0.0012088653088271149,1.3000000000000007,-0.012172817709466766
315.025435054066,521.865970413895,118,1,4.751349622321901e-4,1.0899999999999999,-0.001887703836962018
220.3819086989789,470.14111203025334,119,2,-1.8664336947003986e-4,-4.42,-9.144079601030031e-4
212.21633736268498,472.4225271704885,120,3,1.1581848440518627e-4,-0.4299999999999997,0.013848540857324565
414.6761795027043,470.92394780145594,121,4,3.5198908582628405e-4,2.379999999999999,-0.010270731306573466
-574.0096905001035,512.8838061202678,122,5,0.0012302572326145702,-0.8599999999999994,0.028585056421356947
-1449.8277358283929,551.2905990083183,123,6,0.0022030672688695702,0.7799999999999994,0.011851019910426142
-564.3930841986755,504.1962517849541,124,7,0.0033887422704664202,0.8200000000000003,0.019907262587656793
-344.0110342758729,483.35658436583276,125,8,0.0036826782821168733,-1,-0.00659596849040156
-421.15847210023804,500.8774873220201,126,9,0.0015717175222201424,1.8900000000000006,0.01290188654690766
-750.578452852988,497.7611047482444,127,10,8.795864382201979e-4,0.03999999999999915,-0.00859068964560139
-661.387645539575,430.1688051469199,128,11,0.0047655394372669475,0,0.004938671426682584
-582.462300729265,380.878848197872,129,12,-0.0026591844695766503,1.2599999999999998,-0.018978872271145808
-971.5976482635648,330.2099309309092,130,2,0.005577993186903132,-1.5299999999999994,0.0752055840314747
-1150.2768011863473,496.463036603938,131,3,0.002440394261384801,1.0500000000000007,0.015968064692360118
-760.8388307183311,561.3043123034256,132,4,0.0015414999701886256,0.08000000000000007,0.00728186364377692
-315.88647951725324,582.1077539990326,133,5,0.0017243634373161967,0.3099999999999987,0.02016336603864921
455.52801328520684,547.5927720525409,134,6,3.7107060160611327e-4,0.4400000000000013,-0.006745150586410842
-67.2204982735724,590.6641964966486,135,7,2.1460381198851186e-5,-2.450000000000001,0.011099460094570135
-279.5866442069794,610.8803736176238,136,8,-0.0017764439925964381,1.7100000000000009,-0.011516408385767396
-124.8863176713754,547.5070491524558,137,9,0.0020258161966277624,-1.0899999999999999,8.773552304069954e-4
322.8186975052782,529.9044561074417,138,10,-0.0028418389879476674,0.1399999999999988,-0.012213503741150045
123.14394356455868,555.9094737654035,139,11,-0.0014407776703454153,0.4299999999999997,0.016969739083347368
60.5136504058556,595.2082003415882,140,12,-9.128109146831834e-4,-1.0399999999999991,0.002097964374686845
